epoch,accuracy,loss,val_accuracy,val_loss
0,0.36424022912979126,1.3244796991348267,0.44092220067977905,1.2743638753890991
1,0.6606698036193848,0.9703114628791809,0.6628242135047913,0.8987748026847839
2,0.796291172504425,0.5747120976448059,0.6916426420211792,0.7837470769882202
3,0.8497093915939331,0.4137880504131317,0.7002881765365601,0.7603495717048645
4,0.8848602175712585,0.3281079828739166,0.6916426420211792,0.8418917655944824
5,0.9106006026268005,0.26909685134887695,0.6743515729904175,0.8988242745399475
6,0.9274840950965881,0.22122490406036377,0.7002881765365601,0.9584368467330933
7,0.9382784366607666,0.19203200936317444,0.6772334575653076,1.0220670700073242
8,0.952117383480072,0.15917466580867767,0.6887608170509338,1.084578275680542
9,0.9570993781089783,0.14287741482257843,0.6599423885345459,1.169402003288269
10,0.9637420177459717,0.12598878145217896,0.6743515729904175,1.182355284690857
11,0.9678937196731567,0.10955648869276047,0.6657060384750366,1.2704616785049438
12,0.9681705236434937,0.1010962724685669,0.6628242135047913,1.3038780689239502
13,0.9712150692939758,0.09585803002119064,0.6599423885345459,1.386932373046875
14,0.973706066608429,0.08814910054206848,0.6570605039596558,1.4612139463424683
15,0.9717686176300049,0.09351591020822525,0.6484149694442749,1.4073246717453003
16,0.973429262638092,0.08477876335382462,0.6628242135047913,1.4954376220703125
17,0.974259614944458,0.08661413937807083,0.6685879230499268,1.4588907957077026
18,0.9761970639228821,0.07308553904294968,0.6685879230499268,1.575332522392273
19,0.975643515586853,0.08156516402959824,0.6484149694442749,1.5600723028182983
20,0.975089967250824,0.07938812673091888,0.6455331444740295,1.5697664022445679
21,0.976473867893219,0.07082565128803253,0.6570605039596558,1.5714647769927979
22,0.9789648652076721,0.06531111896038055,0.6570605039596558,1.574697494506836
23,0.9767506122589111,0.06824096292257309,0.6541786789894104,1.6789964437484741
24,0.977027416229248,0.06271951645612717,0.6570605039596558,1.6514157056808472
